image_files,Picturio,AADB
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\020_2015-tavasz-f_3,0-1_640 s-50,0 mm-20150423dsc_1910_131067553886665010.jpg",0.3905470669269562,0.712062
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\020_photoexpo-[-[f_5,0]-[1_8 s]-[41,0 mm]-_mg_9063_131067553980885556.jpg",0.26679059863090515,0.276602
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0200_131074363161585507.jpg,0.31178608536720276,0.530643
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0201_131074384035788179.jpg,0.2333163172006607,0.361524
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0202_131074384113756322.jpg,0.32456403970718384,0.527025
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0203_131067356573313264.jpg,0.24082088470458984,0.502432
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0204_131074384322010113.jpg,0.3581847548484802,0.435973
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0205_131074384349351073.jpg,0.2149636596441269,0.459125
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\021_131067356605188675.jpg,0.24421094357967377,0.555178
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\021_2014_kari-[f_7,0]-[1_40 s]-[55,0 mm]-[photo-levi]_dsc_9267_131066507424848473.jpg",0.31002938747406006,0.498973
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\021_2015-tavasz-f_3,0-1_1000 s-50,0 mm-20150423dsc_1911_131067553995262687.jpg",0.25421419739723206,0.709197
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\021_photoexpo-[-[f_5,0]-[1_8 s]-[41,0 mm]-_mg_9064_131067554093703931.jpg",0.33103466033935547,0.358881
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0213_131073616097989477.jpg,0.3291609585285187,0.528239
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\022_131067356646595425.jpg,0.23440173268318176,0.572259
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\022_2014_kari-[f_7,0]-[1_40 s]-[48,0 mm]-[photo-levi]_dsc_9268_131066507446409746.jpg",0.3770609498023987,0.494319
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\022_photoexpo-[-[f_5,0]-[1_8 s]-[41,0 mm]-_mg_9065_131067554100265814.jpg",0.25063297152519226,0.315134
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0222_131067356681442812.jpg,0.6933218836784363,0.539446
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0223_131067356703627058.jpg,0.66317218542099,0.579464
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0224_131067554242794294.jpg,0.29416558146476746,0.424214
